1,Mon,Lunch,Down01,牛丼,0.5
1,Mon,Lunch,Down02,ゼリー,0
1,Mon,Lunch,Up01,卵ソーセージ,0.9
1,Mon,Lunch,Up02,バナナ,0
1,Mon,Dinner,サラダ,シーチキンサラダ,0.6
1,Mon,Dinner,果物,もも,0
1,Mon,Dinner,汁物,味噌汁,1.5
1,Mon,Dinner,メイン,ステーキ,0
2,Tue,Lunch,Down01,野菜炒め,0.3
2,Tue,Lunch,Down02,ゼリー,0
2,Tue,Lunch,Up01,卵ソーセージ,0.9
2,Tue,Lunch,Up02,バナナ,0
2,Tue,Dinner,サラダ,シーチキンサラダ,0.6
2,Tue,Dinner,果物,もも,0
2,Tue,Dinner,汁物,味噌汁,0.8
2,Tue,Dinner,メイン,まぐろ,1.2
3,Wed,Lunch,Down01,野菜炒め,0.3
3,Wed,Lunch,Down02,ゼリー,0
3,Wed,Lunch,Up01,卵ソーセージ,0.9
3,Wed,Lunch,Up02,バナナ,0
3,Wed,Dinner,サラダ,シーチキンサラダ,0.6
3,Wed,Dinner,果物,もも,0
3,Wed,Dinner,汁物,味噌汁,0.8
3,Wed,Dinner,メイン,はまち,1.2
4,Wed,Lunch,Down01,麻婆豆腐,1.5
4,Wed,Lunch,Down02,ゼリー,0
4,Wed,Lunch,Up01,卵ソーセージ,0.9
4,Wed,Lunch,Up02,バナナ,0
4,Wed,Dinner,サラダ,シーチキンサラダ,0.6
4,Wed,Dinner,果物,もも,0
4,Wed,Dinner,汁物,味噌汁,0.8
4,Wed,Dinner,メイン,肉じゃが,1.2
5,Wed,Lunch,Down01,麻婆豆腐,1.5
5,Wed,Lunch,Down02,ゼリー,0
5,Wed,Lunch,Up01,卵ソーセージ,0.9
5,Wed,Lunch,Up02,バナナ,0
5,Wed,Dinner,サラダ,シーチキンサラダ,0.6
5,Wed,Dinner,果物,もも,0
5,Wed,Dinner,汁物,味噌汁,0.8
5,Wed,Dinner,メイン,肉じゃが,1.2
6,Wed,Lunch,Down01,麻婆豆腐,1.5
6,Wed,Lunch,Down02,ゼリー,0
6,Wed,Lunch,Up01,卵ソーセージ,0.9
6,Wed,Lunch,Up02,バナナ,0
6,Wed,Dinner,サラダ,シーチキンサラダ,0.6
6,Wed,Dinner,果物,もも,0
6,Wed,Dinner,汁物,味噌汁,0.8
6,Wed,Dinner,メイン,肉じゃが,1.2
7,Wed,Lunch,Down01,麻婆豆腐,1.5
7,Wed,Lunch,Down02,ゼリー,0
7,Wed,Lunch,Up01,卵ソーセージ,0.9
7,Wed,Lunch,Up02,バナナ,0
7,Wed,Dinner,サラダ,シーチキンサラダ,0.6
7,Wed,Dinner,果物,もも,0
7,Wed,Dinner,汁物,味噌汁,0.8
7,Wed,Dinner,メイン,肉じゃが,1.2
